"Reservoir","Site","Date","ThermistorTemp_C_1","ThermistorTemp_C_2","ThermistorTemp_C_3","ThermistorTemp_C_4","ThermistorTemp_C_5","ThermistorTemp_C_6","ThermistorTemp_C_7","ThermistorTemp_C_8","ThermistorTemp_C_9","ThermistorTemp_C_10","ThermistorTemp_C_11","ThermistorTemp_C_12","ThermistorTemp_C_13","RDO_mgL_6","RDO_mgL_13","EXODO_mgL_1.5","EXOChla_RFU_1.5","EXOChla_ugL_1.5"
"BVR",50,2022-02-04,NA,NA,NA,3.45242245138889,3.75735636805556,3.78054083333333,3.78720575694444,3.82772272222222,3.81756352777778,3.85112049305556,3.88592479861111,3.94120019444444,3.94492502777778,13.7539238194444,9.89943229166667,13.6747916666667,3.51013888888889,14.1376388819444
"BVR",50,2022-02-05,NA,NA,NA,3.36084279166667,3.39859277777778,3.40969209027778,3.43734314583333,3.45892706944444,3.42220008333333,3.456102125,3.45162239583333,3.47488181944444,3.44561361111111,13.4119797222222,13.3187973611111,13.2884722222222,3.19868055555556,12.8809027847222
"BVR",50,2022-02-06,NA,NA,NA,3.54706120833333,3.63437688194444,3.7024709375,3.7167745625,3.75104775,3.71879785416667,3.76289955555556,3.77610261111111,3.83616908333333,3.84288655555556,13.2970616666667,12.0046457638889,13.2660416666667,2.93277777777778,11.8050694305556
"BVR",50,2022-02-07,NA,NA,NA,2.86798323611111,3.25573554166667,3.42239990972222,3.50492132638889,3.61009488194444,3.62069781944444,3.68960520138889,3.72457752777778,3.79818782638889,3.84784779861111,13.4309442361111,12.1201,13.4372222222222,3.31270833333333,13.3397222083333
"BVR",50,2022-02-08,NA,NA,NA,3.35720266666667,3.38146352777778,3.40967257638889,3.43757520833333,3.47846723611111,3.45734502777778,3.50005945833333,3.50315874305556,3.53808609722222,3.52788158333333,13.4814788194444,13.3152715972222,13.4025,2.95416666666667,11.8944444444444
"BVR",50,2022-02-09,NA,NA,NA,3.57025289583333,3.52589434722222,3.5526440625,3.56349939583333,3.59581077777778,3.56852207638889,3.60773316666667,3.60863340277778,3.64742188888889,3.629896125,13.4262390972222,13.387608125,13.368125,3.10194444444444,12.4894444305556
"BVR",50,2022-02-10,NA,NA,NA,3.89410328472222,3.88467827083333,3.88937224305556,3.90491354861111,3.92154704861111,3.88813415972222,3.92579788194444,3.92205021527778,3.95029789583333,3.9270684375,13.46488375,13.3642010416667,13.3770833333333,2.86361111111111,11.5254860972222
"BVR",50,2022-02-11,NA,NA,NA,4.51973026388889,4.3152963125,4.22422657638889,4.14620564583333,4.11953393055556,4.04145976388889,4.05288818055556,4.03441211111111,4.05333618055556,4.02326345138889,13.3764676388889,12.9498203472222,13.3739583333333,2.889375,11.6314583472222
"BVR",50,2022-02-12,NA,NA,NA,4.31410148611111,4.30428672222222,4.29289092361111,4.29159927083333,4.30446322222222,4.26323398611111,4.29178424305556,4.28360384027778,4.30759145138889,4.28252910416667,13.2965782638889,12.7805577777778,13.2609722222222,3.12888888888889,12.5962500138889
"BVR",50,2022-02-13,NA,NA,NA,4.28257343055556,4.2967405625,4.27892952083333,4.29603654166667,4.30608611805556,4.265345625,4.29704571527778,4.28577965972222,4.30518527777778,4.27267086805556,13.3440815277778,13.3079777777778,13.2340972222222,3.09548611111111,12.4626388888889
"BVR",50,2022-02-14,NA,NA,NA,3.83260870833333,3.85647066666667,3.85291577083333,3.86969413194444,3.88593517361111,3.84730354861111,3.87906044444444,3.86641625,3.88456528472222,3.85036503472222,13.30218375,13.2963053472222,13.1986713286713,2.90615384615385,11.6978321678322
"BVR",50,2022-02-15,NA,NA,NA,3.44923311805556,3.542615,3.60921453472222,3.62571498611111,3.66629065972222,3.64800045138889,3.7022206875,3.71528178472222,3.75580377777778,3.7371270625,13.1650725,13.0360815972222,13.2354861111111,2.87486111111111,11.5734722152778
"BVR",50,2022-02-16,NA,NA,NA,3.81399019444444,3.82737681944444,3.85242799305556,3.83357272916667,3.8572611875,3.81694194444444,3.853719625,3.85654891666667,3.88409904166667,3.85987336805556,12.9858909722222,12.6948975694444,13.188041958042,2.9779020979021,11.9867132937063
"BVR",50,2022-02-17,NA,NA,NA,4.11813986111111,4.07250757638889,4.06666240972222,4.04179439583333,4.04889548611111,3.99233433333333,4.008806625,3.98746254861111,3.99295249305556,3.97178732638889,13.0413072222222,12.6625217361111,13.1447916666667,3.781875,15.2347916666667
"BVR",50,2022-02-18,NA,NA,NA,4.75697025,4.76221056944444,4.74109134027778,4.75344838888889,4.74956446527778,4.69890250694444,4.71787979166667,4.69754424305556,4.70190867361111,4.65743613194444,13.2008211111111,13.1328275694444,13.0575352112676,3.03323943661972,12.2110563239437
"BVR",50,2022-02-19,NA,NA,NA,4.62133146527778,4.61568682638889,4.592186375,4.61306815972222,4.62320836111111,4.5836134375,4.61246629166667,4.60381526388889,4.62024284027778,4.583921,13.2137104861111,13.1973865277778,13.0516428571429,2.84392857142857,11.4478571428571
"BVR",50,2022-02-20,NA,NA,NA,4.60079992361111,4.48072302083333,4.4646398125,4.4163830625,4.40701097916667,4.34659316666667,4.36543776388889,4.34093872222222,4.33901270833333,4.28556627777778,13.1091239583333,13.0034219444444,13.0340972222222,3.13055555555556,12.6043055694444
"BVR",50,2022-02-21,NA,NA,NA,4.71882772916667,4.430838875,4.3935855625,4.33333197222222,4.32314207638889,4.26940997222222,4.29104225694444,4.27589414583333,4.28331728472222,4.22444717361111,13.1002927083333,12.9171684722222,13.0678472222222,3.36881944444444,13.5650694375
"BVR",50,2022-02-22,NA,NA,NA,4.91346184027778,4.76895815277778,4.65989889583333,4.5356126875,4.50284970833333,4.39631860416667,4.39007754166667,4.34597157638889,4.33641684722222,4.27878520138889,13.0229013194444,12.6204989583333,13.0834027777778,3.98270833333333,16.0461111111111
"BVR",50,2022-02-23,NA,NA,NA,6.63795504166667,6.48238979166667,6.39123275,6.31196125,6.15545182638889,5.77812254861111,5.42478429166667,5.07567799305556,4.79341502777778,4.61006963194444,13.1360116666667,12.7387810416667,12.9985314685315,3.4641958041958,13.950000006993
"BVR",50,2022-02-24,NA,NA,NA,6.13441651388889,6.01066265277778,5.82354625,5.68398789583333,5.58232024305556,5.40327238194444,5.32819441666667,5.15923918055556,4.97161904861111,4.86743411805556,12.9257494444444,12.5378770138889,12.8426056338028,3.97478873239437,16.012746471831
"BVR",50,2022-02-25,NA,NA,NA,5.9092455625,5.90864599305556,5.86854186111111,5.84715946527778,5.82526985416667,5.74035470138889,5.74171252083333,5.70651665972222,5.70858035416667,5.65209488888889,12.9017670138889,12.6941701388889,12.7732638888889,3.56680555555556,14.3668055625
"BVR",50,2022-02-26,NA,NA,NA,6.28666657638889,6.2773333125,6.25954282638889,6.24857792361111,6.25296059027778,6.19014601388889,6.16079665277778,6.0590669375,6.03293754861111,5.96185490972222,12.9444983333333,12.72262,12.7909090909091,3.70188811188811,14.9129370629371
"BVR",50,2022-02-27,NA,NA,NA,6.42749061805556,6.42583414583333,6.39959710416667,6.40869852777778,6.41583398611111,6.35176163194444,6.34001322222222,6.31126334722222,6.30792995138889,6.25051234722222,13.0452927083333,12.8715861111111,12.8723611111111,3.79902777777778,15.3048610972222
"BVR",50,2022-02-28,NA,NA,NA,6.59107395833333,6.43004119444444,6.30854138194444,6.21210325694444,6.15064211805556,6.04954483333333,6.05162933333333,6.01678202083333,6.00890621527778,5.95068627083333,12.9673348611111,12.7606183333333,12.8495138888889,3.52340277777778,14.1904861111111
"BVR",50,2022-03-01,NA,NA,NA,6.79350486805556,6.7037975625,6.47797664583333,6.21532859722222,6.06294774305556,5.902600125,5.87925397222222,5.8316285,5.82133031944444,5.76577751388889,12.9593179166667,12.4777660416667,12.8878472222222,3.39888888888889,13.6891666666667
"BVR",50,2022-03-02,NA,NA,NA,7.53671386111111,7.46794072222222,7.39547090972222,7.26252063888889,7.07806684027778,6.75672015277778,6.36159571527778,5.98261150694444,5.88923188888889,5.82266143055556,13.1541361805556,12.3091382638889,13.0125874125874,3.50160839160839,14.1014685244755
"BVR",50,2022-03-03,NA,NA,NA,8.00079938194444,7.91058388194444,7.71845870833333,7.65131845138889,7.58694961111111,7.41155620138889,7.12012442361111,6.6701114375,6.36214258333333,6.05085283333333,13.1012699305556,12.2079570833333,12.9488888888889,3.66347222222222,14.7552083263889
"BVR",50,2022-03-04,NA,NA,NA,7.73179423611111,7.49261709027778,7.360765875,7.2217833125,7.03634111805556,6.81324022916667,6.60612119444444,6.37199013194444,6.2290964375,6.12016119444444,12.9407154166667,11.7941633333333,12.8656643356643,4.13986013986014,16.6783216853147
"BVR",50,2022-03-05,NA,NA,NA,7.97215159722222,7.7618311875,7.68202402777778,7.53021975694444,7.37372684027778,6.96733151388889,6.66229352777778,6.43582510416667,6.29521720833333,6.16521341666667,13.0698692361111,11.4066454166667,13.0288888888889,3.98236111111111,16.0440277777778
"BVR",50,2022-03-06,NA,NA,NA,8.79055320833333,8.54753765277778,8.31495940972222,7.85163658333333,7.40454328472222,6.92880051388889,6.66741340972222,6.44847480555556,6.36161715277778,6.27450173611111,13.2363358333333,11.2270301388889,13.0930769230769,4.48846153846154,18.0869230769231
"BVR",50,2022-03-07,NA,NA,NA,10.1658352013889,9.65498933333333,9.21464504861111,8.67491440277778,8.10616802777778,7.34790656944444,6.96967691666667,6.56407880555556,6.43897327083333,6.32168427083333,13.1343843055556,10.9797126388889,13.0122222222222,4.38965277777778,17.6886111111111
"BVR",50,2022-03-08,NA,NA,NA,10.3607619305556,10.0362951319444,9.76603658333333,9.43622884027778,8.98960595138889,8.50875069444444,8.10347114583333,7.48980701388889,7.05284916666667,6.71387832638889,12.4666320138889,11.1165967361111,12.3463888888889,4.11756944444444,16.5907638819444
"BVR",50,2022-03-09,NA,NA,NA,9.62340795833333,9.50925767361111,9.39868422916667,9.22378206944444,8.95115419444445,8.556515875,8.17712661805556,7.51442863194444,7.19986544444444,7.03572371527778,12.4578941666667,10.9525421527778,12.3136111111111,4.55569444444444,18.3581250069444
"BVR",50,2022-03-10,NA,NA,NA,9.47503067361111,9.3262186875,9.25023335416667,9.0008256875,8.70947095833333,8.27403086111111,7.80378428472222,7.43101411111111,7.28136159722222,7.14788866666667,12.2805855555556,10.4308118125,12.1696478873239,4.3043661971831,17.3436619647887
"BVR",50,2022-03-11,NA,NA,NA,9.43492995138889,9.21882802083333,9.13167523611111,8.97335450694444,8.83280863194445,8.29826961111111,7.79932558333333,7.41415248611111,7.25107253472222,7.09260385416667,12.4520528472222,9.86312449305556,12.3618055555556,4.08625,16.4625694444444
"BVR",50,2022-03-12,NA,NA,NA,8.90499319444444,8.90753440972222,8.88350823611111,8.86638703472222,8.76526532638889,8.53070521527778,8.49834215972222,8.43526980555556,8.40838422916667,8.28548995138889,12.1318965972222,11.3726198541667,11.954965034965,3.6058041958042,14.5231468461538
"BVR",50,2022-03-13,NA,NA,NA,8.01831834027778,7.96294776388889,7.82493581944444,7.61058738194444,7.50060629861111,7.39379116666667,7.35758972222222,7.27771795138889,7.22586385416667,7.13889536111111,11.9786942361111,11.6987418055556,11.8364335664336,3.22951048951049,13.0032167902098
"BVR",50,2022-03-14,NA,NA,NA,7.86796501388889,7.66630232638889,7.58340513888889,7.52193422916667,7.46577360416667,7.37420350694444,7.35767292361111,7.16148459027778,6.94385522222222,6.68994366666667,11.9997997222222,11.3139094444444,11.8630555555556,3.48520833333333,14.0369444583333
"BVR",50,2022-03-15,NA,NA,NA,8.69636254166667,8.17639224305556,7.95251425,7.79464201388889,7.577268375,7.32278373611111,7.1673801875,7.05730856944444,6.99926791666667,6.90294154861111,12.1262763888889,10.98218125,12.0700704225352,3.34091549295775,13.4544366056338
"BVR",50,2022-03-16,NA,NA,NA,8.84505177777778,8.57655363194444,8.2246823125,7.73274493055556,7.51038424305556,7.26717247222222,7.17327915972222,7.09156370138889,7.061345375,6.988956,12.1750907638889,10.7418732638889,12.1516783216783,3.5958041958042,14.4821678251748
